시군명,발생년도,발생일자,주야구분명,사고요일,사고유형_대분류,사고유형,법규위반대분류명,법규위반내용,도로형태_대분류,도로형태,가해자 당사자 종별,당사자1_차종,피해자 당사자 종별,당사자2_차종,사망자수,중상자수,부상자수,부상신고자수,경상자수,WGS84위도,WGS84경도
광주시,2016   ,2016-05-29 23시,야간,일요일,차대차,진행중 추돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,화물차,대형,1,0,1,0,0,37.40251098,127.19980216
의정부시,2016   ,2016-05-29 00시,야간,일요일,차대사람,기타,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,승용차,중형,보행자,보행자,1,0,1,0,0,37.72288874,127.04051494
안성시,2016   ,2016-05-28 14시,주간,토요일,차대사람,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,소형,보행자,보행자,1,0,1,0,0,37.0433813,127.1856249
광주시,2016   ,2016-05-28 13시,주간,토요일,차대사람,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,보행자,보행자,1,0,2,0,1,37.47886158,127.18418291
광주시,2016   ,2016-05-28 10시,주간,토요일,차대차,진행중 추돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,중형,건설기계,건설기계,1,0,1,0,0,37.36048657,127.31829228
화성시,2016   ,2016-05-28 00시,야간,토요일,차대차,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,경형,화물차,대형,1,0,1,0,0,37.11694077,126.8206791
부천시,2016   ,2016-05-28 00시,야간,토요일,차대사람,길가장자리구역통행중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승합차,대형,보행자,보행자,1,0,1,0,0,37.50925449,126.77483413
화성시,2016   ,2016-05-25 03시,야간,수요일,차대차,측면충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,중형,특수차,대형,2,1,10,2,5,37.25731637,126.8851874
시흥시,2016   ,2016-05-24 17시,주간,화요일,차대차,정면충돌,운전자법규위반,중앙선 침범,단일로,기타단일로,승합차,중형,승용차,중형,2,0,4,0,2,37.4142779,126.80467972
남양주시,2016   ,2016-05-24 10시,주간,화요일,차대차,정면충돌,운전자법규위반,중앙선 침범,단일로,기타단일로,화물차,소형,승합차,대형,1,0,3,0,2,37.69922226,127.20456516
파주시,2016   ,2016-05-24 07시,주간,화요일,차대차,정면충돌,운전자법규위반,중앙선 침범,단일로,기타단일로,화물차,중형,승용차,중형,1,3,8,0,4,37.8880106,126.81312206
수원시,2016   ,2016-05-24 02시,야간,화요일,차대사람,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,경형,보행자,보행자,1,0,1,0,0,37.24693486,127.01367605
포천시,2016   ,2016-05-23 14시,주간,월요일,차대차,정면충돌,운전자법규위반,중앙선 침범,단일로,기타단일로,화물차,중형,승용차,중형,1,1,2,0,0,38.02387424,127.25596145
